,Body1 Torque Z(N.m),Time (ms),Excitation
4,-388.609204230169,4,879.9599999999999
5,-388.712263726929,5,879.9599999999999
6,-386.257448188271,6,879.9599999999999
7,-389.265857561727,7,879.9599999999999
8,-388.333291313384,8,879.9599999999999
9,-390.22795696406,9,879.9599999999999
10,-387.203850976585,10,879.9599999999999
11,-389.862049387449,11,879.9599999999999
12,-386.625540386592,12,879.9599999999999
13,-385.774541900851,13,879.9599999999999
14,-384.978733272713,14,879.9599999999999
15,-384.575099517409,15,879.9599999999999
16,-386.023902591292,16,879.9599999999999
17,-386.497298568417,17,879.9599999999999
18,-388.048008001358,18,879.9599999999999
19,-386.003577454005,19,879.9599999999999
20,-386.686174783894,20,879.9599999999999
21,-387.028364773477,21,879.9599999999999
22,-390.241168770753,22,879.9599999999999
23,-388.246462639626,23,879.9599999999999
24,-390.030895260174,24,879.9599999999999
25,-385.013491862149,25,879.9599999999999
26,-384.759934085102,26,879.9599999999999
27,-384.505490004678,27,879.9599999999999
28,-384.287696676564,28,879.9599999999999
29,-391.476442429144,29,879.9599999999999
30,-384.949635182426,30,879.9599999999999
0,-480.907538527786,0,1113.72
1,-485.974474664173,1,1113.72
2,-488.756097775942,2,1113.72
3,-486.368175525368,3,1113.72
4,-490.187610415076,4,1113.72
5,-490.461724526162,5,1113.72
6,-487.682693789315,6,1113.72
7,-491.336472563952,7,1113.72
8,-490.055278289643,8,1113.72
9,-492.537805474005,9,1113.72
10,-489.175498615812,10,1113.72
11,-491.859877379776,11,1113.72
12,-488.098008680344,12,1113.72
13,-486.665994484067,13,1113.72
14,-485.89368810679,14,1113.72
15,-485.029490761937,15,1113.72
16,-487.350210652318,16,1113.72
17,-487.860447198578,17,1113.72
18,-489.673918259069,18,1113.72
19,-487.260081085263,19,1113.72
20,-488.075980545538,20,1113.72
21,-488.642639148343,21,1113.72
22,-492.46659988902,22,1113.72
23,-490.301750010004,23,1113.72
24,-492.280944364724,24,1113.72
25,-485.8714098383,25,1113.72
26,-485.493010453411,26,1113.72
27,-485.124634518078,27,1113.72
28,-485.146529967646,28,1113.72
29,-494.015706000128,29,1113.72
30,-486.109172991541,30,1113.72
0,-108.505776487027,0,249.84
1,-109.3330332834,1,249.84
2,-110.186491954233,2,249.84
3,-109.76149655051,3,249.84
4,-111.694261193571,4,249.84
5,-111.339135492851,5,249.84
6,-109.918662415065,6,249.84
7,-111.461618352149,7,249.84
8,-110.908075832515,8,249.84
9,-112.076135860045,9,249.84
10,-109.259710960463,10,249.84
11,-111.515084835127,11,249.84
12,-109.24986643826,12,249.84
13,-110.303895994664,13,249.84
14,-109.419502571766,14,249.84
15,-109.211993820539,15,249.84
16,-109.564899678381,16,249.84
17,-109.457937814533,17,249.84
18,-110.732090941927,18,249.84
19,-110.057187010247,19,249.84
20,-109.914183376781,20,249.84
21,-109.709844585378,21,249.84
22,-111.989660863792,22,249.84
23,-110.041880695443,23,249.84
24,-112.030942488906,24,249.84
25,-109.670320926822,25,249.84
26,-109.487090247482,26,249.84
27,-110.181664367348,27,249.84
28,-108.98026512461,28,249.84
29,-111.341853108666,29,249.84
30,-108.919896973838,30,249.84
0,-202.844045397014,0,466.68
1,-204.861102055118,1,466.68
2,-205.971562762698,2,466.68
3,-205.075977818717,3,466.68
4,-207.455597607908,4,466.68
5,-207.222767763319,5,466.68
6,-205.456093650277,6,466.68
7,-207.451046176685,7,466.68
8,-206.846221168072,8,466.68
9,-208.145693288293,9,466.68
10,-205.369042137273,10,466.68
11,-207.797109410479,11,466.68
12,-205.286108418892,12,466.68
13,-205.634772228879,13,466.68
14,-204.824064575087,14,466.68
15,-204.691049447276,15,466.68
16,-205.204543185742,16,466.68
17,-205.362833605799,17,466.68
18,-206.650727285908,18,466.68
19,-205.455858075011,19,466.68
20,-205.676442389169,20,466.68
21,-205.651688090103,21,466.68
22,-208.134484994294,22,466.68
23,-206.227196581609,23,466.68
24,-208.054478370768,24,466.68
25,-204.909779249831,25,466.68
26,-204.766688727554,26,466.68
27,-205.052179436068,27,466.68
28,-204.285209210016,28,466.68
29,-208.313933436739,29,466.68
30,-204.429995541075,30,466.68
0,-461.364856728213,0,1067.76
1,-466.255112614604,1,1067.76
2,-468.873929947944,2,1067.76
3,-466.584320954195,3,1067.76
4,-470.309490632581,4,1067.76
5,-470.553812200945,5,1067.76
6,-467.832029468049,6,1067.76
7,-471.355850162936,7,1067.76
8,-470.152800042856,8,1067.76
9,-472.504526908003,9,1067.76
10,-469.220007925196,10,1067.76
11,-471.906746329767,11,1067.76
12,-468.253119472974,12,1067.76
13,-466.928568550221,13,1067.76
14,-466.14814473962,14,1067.76
15,-465.393635848973,15,1067.76
16,-467.525823044423,16,1067.76
17,-468.037197494436,17,1067.76
18,-469.793353368947,18,1067.76
19,-467.445415365338,19,1067.76
20,-468.241817492817,20,1067.76
21,-468.763347877684,21,1067.76
22,-472.456246644776,22,1067.76
23,-470.332467032537,23,1067.76
24,-472.258918905736,24,1067.76
25,-466.145135279107,25,1067.76
26,-465.792835945133,26,1067.76
27,-465.434306477485,27,1067.76
28,-465.410126455273,28,1067.76
29,-473.959138074831,29,1067.76
30,-466.316029827464,30,1067.76
0,-248.232900167463,0,571.56
1,-250.805415163316,1,571.56
2,-252.094307639323,2,571.56
3,-250.95720259937,3,571.56
4,-253.569325835008,4,571.56
5,-253.413817262432,5,571.56
6,-251.470927629523,6,571.56
7,-253.704826443983,7,571.56
8,-253.047928794434,8,571.56
9,-254.451709009899,9,571.56
10,-251.653216075085,10,571.56
11,-254.155064338655,11,571.56
12,-251.489921810954,12,571.56
13,-251.515715498381,13,571.56
14,-250.719008954546,14,571.56
15,-250.57291928208,15,571.56
16,-251.245938109861,16,571.56
17,-251.510359797346,17,571.56
18,-252.837034420559,18,571.56
19,-251.406713785167,19,571.56
20,-251.773098227239,20,571.56
21,-251.838221582414,21,571.56
22,-254.463600437898,22,571.56
23,-252.556126184455,23,571.56
24,-254.335246809958,24,571.56
25,-250.769996628828,25,571.56
26,-250.619504418091,26,571.56
27,-250.734617798878,27,571.56
28,-250.136225486168,28,571.56
29,-254.974246606619,29,571.56
30,-250.399973663708,30,571.56
0,-142.371101917659,0,327.6
1,-143.6303880996,1,327.6
2,-144.558615878056,2,327.6
3,-143.970041675006,3,327.6
4,-146.05689693645,4,327.6
5,-145.739215936215,5,327.6
6,-144.198174112625,6,327.6
7,-145.89643434,7,327.6
8,-145.332898968439,8,327.6
9,-146.535514865468,9,327.6
10,-143.746390641708,10,327.6
11,-146.066288034858,11,327.6
12,-143.724564755037,12,327.6
13,-144.520315390644,13,327.6
14,-143.669740152466,14,327.6
15,-143.504218296886,15,327.6
16,-143.88840646414,16,327.6
17,-143.883153312676,17,327.6
18,-145.151698667253,18,327.6
19,-144.285828830843,19,327.6
20,-144.282641971365,20,327.6
21,-144.141665314498,21,327.6
22,-146.479964983188,22,327.6
23,-144.552835888562,23,327.6
24,-146.474823821917,24,327.6
25,-143.845700924991,25,327.6
26,-143.68576220284,26,327.6
27,-144.225569298575,27,327.6
28,-143.193579263182,28,327.6
29,-146.150675299633,29,327.6
30,-143.200013260716,30,327.6
0,-361.090735748613,0,833.4
1,-364.968724942437,1,833.4
2,-366.859860508328,2,833.4
3,-365.102035067156,3,833.4
4,-368.314829068416,4,833.4
5,-368.379070818333,5,833.4
6,-365.997560581073,6,833.4
7,-368.883013107296,7,833.4
8,-368.004931806122,8,833.4
9,-369.805875802873,9,833.4
10,-366.831715657635,10,833.4
11,-369.473941972635,11,833.4
12,-366.333531876236,12,833.4
13,-365.607322223435,13,833.4
14,-364.811672151767,14,833.4
15,-364.470498888389,15,833.4
16,-365.773788493768,16,833.4
17,-366.226875932473,17,833.4
18,-367.734226604501,18,833.4
19,-365.773632211295,19,833.4
20,-366.419152648357,20,833.4
21,-366.718255763026,21,833.4
22,-369.826474098361,22,833.4
23,-367.85419412337,23,833.4
24,-369.621201044326,24,833.4
25,-364.847797355119,25,833.4
26,-364.615721452774,26,833.4
27,-364.402416175189,27,833.4
28,-364.134616521289,28,833.4
29,-370.975598009841,29,833.4
30,-364.734395199193,30,833.4
0,-468.008966498862,0,1083.3600000000001
1,-472.960115063584,1,1083.3600000000001
2,-475.633517610538,2,1083.3600000000001
3,-473.3102535228,3,1083.3600000000001
4,-477.06771136423,4,1083.3600000000001
5,-477.322402050086,5,1083.3600000000001
6,-474.580781895176,6,1083.3600000000001
7,-478.148596206155,7,1083.3600000000001
8,-476.919520228744,8,1083.3600000000001
9,-479.314841538891,9,1083.3600000000001
10,-476.004513688828,10,1083.3600000000001
11,-478.690882043106,11,1083.3600000000001
12,-475.000733338752,12,1083.3600000000001
13,-473.639277472125,13,1083.3600000000001
14,-472.861420984228,14,1083.3600000000001
15,-472.070683430028,15,1083.3600000000001
16,-474.266034108746,16,1083.3600000000001
17,-474.777472497426,17,1083.3600000000001
18,-476.552799892849,18,1083.3600000000001
19,-474.18211802502,19,1083.3600000000001
20,-474.985494576982,20,1083.3600000000001
21,-475.522297419798,21,1083.3600000000001
22,-479.2591288914,22,1083.3600000000001
23,-477.121822229717,23,1083.3600000000001
24,-479.065376375135,24,1083.3600000000001
25,-472.852367869083,25,1083.3600000000001
26,-472.491256025571,26,1083.3600000000001
27,-472.128673804991,27,1083.3600000000001
28,-472.12019335781,28,1083.3600000000001
29,-480.778559209102,29,1083.3600000000001
30,-473.045520983224,30,1083.3600000000001
0,-244.282798560637,0,562.44
1,-246.807500599238,1,562.44
2,-248.079433641517,2,562.44
3,-246.963662527862,3,562.44
4,-249.555193846308,4,562.44
5,-249.392556269913,5,562.44
6,-247.465163368915,6,562.44
7,-249.677719700026,7,562.44
8,-249.026113879209,8,562.44
9,-250.419678743018,9,562.44
10,-247.624163994982,10,562.44
11,-250.119892922031,11,562.44
12,-247.469067825426,12,562.44
13,-247.522510311152,13,562.44
14,-246.725056961024,14,562.44
15,-246.58145039529,15,562.44
16,-247.23845010991,16,562.44
17,-247.494243606511,17,562.44
18,-248.816734778351,18,562.44
19,-247.406470886016,19,562.44
20,-247.760929232264,20,562.44
21,-247.818139499909,21,562.44
22,-250.429936073721,22,562.44
23,-248.52302183323,23,562.44
24,-250.305481325411,24,562.44
25,-246.778089585871,25,562.44
26,-246.628897908993,26,562.44
27,-246.758072551923,27,562.44
28,-246.145978102436,28,562.44
29,-250.913479326228,29,562.44
30,-246.398905798804,30,562.44
0,-199.749891278479,0,459.6
1,-201.728639305275,1,459.6
2,-202.828240601809,2,459.6
3,-201.948799912977,3,459.6
4,-204.312935563715,4,459.6
5,-204.075232425264,5,459.6
6,-202.320387702566,6,459.6
7,-204.29955510576,7,459.6
8,-203.697603782118,8,459.6
9,-204.990985551163,9,459.6
10,-202.21483632301,10,459.6
11,-204.637618706972,11,459.6
12,-202.136290430072,12,459.6
13,-202.507370749865,13,459.6
14,-201.69523892521,14,459.6
15,-201.561918568683,15,459.6
16,-202.066490687516,16,459.6
17,-202.217006464456,17,459.6
18,-203.503007152606,18,459.6
19,-202.324567273002,19,459.6
20,-202.534515803767,20,459.6
21,-202.503715838218,21,459.6
22,-204.977867221873,22,459.6
23,-203.070108721627,23,459.6
24,-204.901417559491,24,459.6
25,-201.784288717503,25,459.6
26,-201.641087332738,26,459.6
27,-201.93886641442,27,459.6
28,-201.159482112783,28,459.6
29,-205.133159730759,29,459.6
30,-201.296610848121,30,459.6
0,-444.867195583011,0,1029.1200000000001
1,-449.602821190987,1,1029.1200000000001
2,-452.089519930156,2,1029.1200000000001
3,-449.884463062472,3,1029.1200000000001
4,-453.528439511833,4,1029.1200000000001
5,-453.745992434706,5,1029.1200000000001
6,-451.075075181675,6,1029.1200000000001
7,-454.490522850553,7,1029.1200000000001
8,-453.349671846254,8,1029.1200000000001
9,-455.59704186866,9,1029.1200000000001
10,-452.373769003653,10,1029.1200000000001
11,-455.059528054422,11,1029.1200000000001
12,-451.495325278288,12,1029.1200000000001
13,-450.263993821782,13,1029.1200000000001
14,-449.478106901313,14,1029.1200000000001
15,-448.808763304756,15,1029.1200000000001
16,-450.78836919079,16,1029.1200000000001
17,-451.297542741977,17,1029.1200000000001
18,-453.007522259,18,1029.1200000000001
19,-450.717597264092,19,1029.1200000000001
20,-451.495093378918,20,1029.1200000000001
21,-451.979020114771,21,1029.1200000000001
22,-455.56560990204,22,1029.1200000000001
23,-453.473504678687,23,1029.1200000000001
24,-455.361140359303,24,1029.1200000000001
25,-449.487894423388,25,1029.1200000000001
26,-449.157158892894,26,1029.1200000000001
27,-448.811797507767,27,1029.1200000000001
28,-448.748511205098,28,1029.1200000000001
29,-457.023758079765,29,1029.1200000000001
30,-449.605593956503,30,1029.1200000000001
0,-120.315136591182,0,276.96
1,-121.293629453207,1,276.96
2,-122.170959833217,2,276.96
3,-121.689639353095,3,276.96
4,-123.67528817228,4,276.96
5,-123.332366617426,5,276.96
6,-121.870358876819,6,276.96
7,-123.466588479065,7,276.96
8,-122.91061151776,8,276.96
9,-124.089142509763,9,276.96
10,-121.283885617452,10,276.96
11,-123.56205653882,11,276.96
12,-121.271654413417,12,276.96
13,-122.234987444082,13,276.96
14,-121.363350557285,14,276.96
15,-121.172378052092,15,276.96
16,-121.532864731744,16,276.96
17,-121.462169278468,17,276.96
18,-122.733017583702,18,276.96
19,-121.99099883264,19,276.96
20,-121.897924191296,20,276.96
21,-121.715542669985,21,276.96
22,-124.013945168419,22,276.96
23,-122.074108295743,23,276.96
24,-124.038684067832,24,276.96
25,-121.586016219738,25,276.96
26,-121.412053838018,26,276.96
27,-122.051688160011,27,276.96
28,-120.911100663818,28,276.96
29,-123.479928118,29,276.96
30,-120.87313618888,30,276.96
0,-288.145715664387,0,663.96
1,-291.194553686819,1,663.96
2,-292.670374831036,2,663.96
3,-291.315169114441,3,663.96
4,-294.138186188725,4,663.96
5,-294.057981268883,5,663.96
6,-291.957862836421,6,663.96
7,-294.413179607863,7,663.96
8,-293.693946175624,8,663.96
9,-295.21406434756,9,663.96
10,-292.37377405726,10,663.96
11,-294.933568152499,11,663.96
12,-292.114519834376,12,663.96
13,-291.865850197439,13,663.96
14,-291.072691563683,14,663.96
15,-290.886069615183,15,663.96
16,-291.743989364689,16,663.96
17,-292.088481266774,17,663.96
18,-293.465845866617,18,663.96
19,-291.838002859755,19,663.96
20,-292.31672724135,20,663.96
21,-292.462831741213,21,663.96
22,-295.237895971118,22,663.96
23,-293.318689974039,23,663.96
24,-295.074187498594,24,663.96
25,-291.111364593853,25,663.96
26,-290.941200127223,26,663.96
27,-290.923209620879,27,663.96
28,-290.453870344346,28,663.96
29,-296.004180470712,29,663.96
30,-290.831356507766,30,663.96
0,-483.660380058976,0,1120.2
1,-488.751594836302,1,1120.2
2,-491.556700098884,2,1120.2
3,-489.155097067468,3,1120.2
4,-492.987634593884,4,1120.2
5,-493.265772090377,5,1120.2
6,-490.478948376223,6,1120.2
7,-494.151165439434,7,1120.2
8,-492.858577431005,8,1120.2
9,-495.360156421084,9,1120.2
10,-491.986436529862,10,1120.2
11,-494.670170569412,11,1120.2
12,-490.892856426544,12,1120.2
13,-489.445974992746,13,1120.2
14,-488.674943301265,14,1120.2
15,-487.794539427296,15,1120.2
16,-490.142479819221,16,1120.2
17,-490.652236089784,17,1120.2
18,-492.47400343795,18,1120.2
19,-490.051125583361,19,1120.2
20,-490.86952740728,20,1120.2
21,-491.442590122256,21,1120.2
22,-495.285461420124,22,1120.2
23,-493.114516006515,23,1120.2
24,-495.10173420806,24,1120.2
25,-488.649586140566,25,1120.2
26,-488.267469722065,26,1120.2
27,-487.898215560491,27,1120.2
28,-487.926569643251,28,1120.2
29,-496.840485125542,29,1120.2
30,-488.897112569338,30,1120.2
0,-137.580018667444,0,316.56
1,-138.778498926491,1,316.56
2,-139.694969283005,2,316.56
3,-139.129918028959,3,316.56
4,-141.194522835335,4,316.56
5,-140.871090184982,5,316.56
6,-139.347376087902,6,316.56
7,-141.023191019309,7,316.56
8,-140.461631159549,8,316.56
9,-141.658512571383,9,316.56
10,-138.86641026479,10,316.56
11,-141.177338326555,11,316.56
12,-138.847235807758,12,316.56
13,-139.679191073881,13,316.56
14,-138.824343710141,14,316.56
15,-138.653899677821,15,316.56
16,-139.031879854466,16,316.56
17,-139.012667059274,17,316.56
18,-140.281284237796,18,316.56
19,-139.44214939969,19,316.56
20,-139.419811404065,20,316.56
21,-139.269795266075,21,316.56
22,-141.598851027452,22,316.56
23,-139.669201911342,23,316.56
24,-141.600088711484,24,316.56
25,-139.009803675679,25,316.56
26,-138.847182059149,26,316.56
27,-139.408361578471,27,316.56
28,-138.353331648429,28,316.56
29,-141.225957209347,29,316.56
30,-138.34984117213,30,316.56
0,-463.907862354387,0,1073.76
1,-468.82152073032,1,1073.76
2,-471.461138603129,2,1073.76
3,-469.158618930749,3,1073.76
4,-472.896174982532,4,1073.76
5,-473.144496073955,5,1073.76
6,-470.415075711417,6,1073.76
7,-473.955710668134,7,1073.76
8,-472.742765684025,8,1073.76
9,-475.111071105338,9,1073.76
10,-471.816750935683,10,1073.76
11,-474.503400781011,11,1073.76
12,-470.835829436288,12,1073.76
13,-469.497109481041,13,1073.76
14,-468.717643859188,14,1073.76
15,-467.949398219769,15,1073.76
16,-470.105647475688,16,1073.76
17,-470.617099978038,17,1073.76
18,-472.380554606848,18,1073.76
19,-470.023872106754,19,1073.76
20,-470.822986242047,20,1073.76
21,-471.350352563166,21,1073.76
22,-475.05999076225,22,1073.76
23,-472.931086068298,23,1073.76
24,-474.863982323563,24,1073.76
25,-468.712382532501,25,1073.76
26,-468.356717997508,26,1073.76
27,-467.996552258592,27,1073.76
28,-467.97838483243,28,1073.76
29,-476.569312201371,29,1073.76
30,-468.891739868973,30,1073.76
0,-238.441458395592,0,548.88
1,-240.895260545665,1,548.88
2,-242.142616141103,2,548.88
3,-241.058292755876,3,548.88
4,-243.619485878233,4,548.88
5,-243.446435612937,5,548.88
6,-241.541917371252,6,548.88
7,-243.723100502649,7,548.88
8,-243.079045526031,8,548.88
9,-244.457914294257,9,548.88
10,-241.666423028544,10,548.88
11,-244.152991173356,11,548.88
12,-241.523025437625,12,548.88
13,-241.617513540431,13,548.88
14,-240.818802286345,14,548.88
15,-240.678388162649,15,548.88
16,-241.312446359217,16,548.88
17,-241.555260730416,17,548.88
18,-242.871844999566,18,548.88
19,-241.491399727927,19,548.88
20,-241.827957302961,20,548.88
21,-241.873495706806,21,548.88
22,-244.465615832175,22,548.88
23,-242.559339083884,23,548.88
24,-244.347042400848,24,548.88
25,-240.875175863678,25,548.88
26,-240.727685186123,26,548.88
27,-240.877929611308,27,548.88
28,-240.245244582977,28,548.88
29,-244.908481529243,29,548.88
30,-240.482328977451,30,548.88
0,-111.369128762469,0,256.44
1,-112.233110913402,1,256.44
2,-113.092142126287,2,256.44
3,-112.653561140331,3,256.44
4,-114.599063903031,4,256.44
5,-114.246812710035,5,256.44
6,-112.816319859294,6,256.44
7,-114.37210570932,7,256.44
8,-113.818074942609,8,256.44
9,-114.988520168879,9,256.44
10,-112.174964602516,10,256.44
11,-114.435894745559,11,256.44
12,-112.164717246299,12,256.44
13,-113.196694451321,13,256.44
14,-112.315488985576,14,256.44
15,-112.112174751359,15,256.44
16,-112.466592743191,16,256.44
17,-112.368501815542,17,256.44
18,-113.641721004133,18,256.44
19,-112.950493723182,19,256.44
20,-112.819710960307,20,256.44
21,-112.6206821204,21,256.44
22,-114.904827083849,22,256.44
23,-112.959045650114,23,256.44
24,-114.942064094913,24,256.44
25,-112.559278649081,25,256.44
26,-112.378408529116,26,256.44
27,-113.059567181049,27,256.44
28,-111.87308351359,28,256.44
29,-114.284876813875,29,256.44
30,-111.818059416609,30,256.44
0,-511.093522600375,0,1184.6399999999999
1,-516.415634933672,1,1184.6399999999999
2,-519.46211753682,2,1184.6399999999999
3,-516.926506177139,3,1184.6399999999999
4,-520.887168598277,4,1184.6399999999999
5,-521.203033848819,5,1184.6399999999999
6,-518.342299918193,6,1184.6399999999999
7,-522.19995586949,7,1184.6399999999999
8,-520.788644652915,8,1184.6399999999999
9,-523.488488708561,9,1184.6399999999999
10,-519.994975553958,10,1184.6399999999999
11,-522.667992123103,11,1184.6399999999999
12,-518.734149738225,12,1184.6399999999999
13,-517.143045497788,13,1184.6399999999999
14,-516.386116811552,14,1184.6399999999999
15,-515.334288654612,15,1184.6399999999999
16,-517.962135468335,16,1184.6399999999999
17,-518.462949531599,17,1184.6399999999999
18,-520.370328414009,18,1184.6399999999999
19,-517.860536205633,19,1184.6399999999999
20,-518.700715825808,20,1184.6399999999999
21,-519.338177651832,21,1184.6399999999999
22,-523.375565851495,22,1184.6399999999999
23,-521.139602574985,23,1184.6399999999999
24,-523.214917347248,24,1184.6399999999999
25,-516.325199533211,25,1184.6399999999999
26,-515.905601954426,26,1184.6399999999999
27,-515.534603697303,27,1184.6399999999999
28,-515.626603175246,28,1184.6399999999999
29,-524.981534990385,29,1184.6399999999999
30,-516.674666787692,30,1184.6399999999999
0,-474.454141370227,0,1098.48
1,-479.46356170549,1,1098.48
2,-482.190668118341,2,1098.48
3,-479.83498286475,3,1098.48
4,-483.623528561409,4,1098.48
5,-483.888041618652,5,1098.48
6,-481.127544155135,6,1098.48
7,-484.738223717789,7,1098.48
8,-483.483366699685,8,1098.48
9,-485.921838558929,9,1098.48
10,-482.585846920855,10,1098.48
11,-485.27143229363,11,1098.48
12,-481.545580638005,12,1098.48
13,-480.148685631985,13,1098.48
14,-479.373512362512,14,1098.48
15,-478.546580965717,15,1098.48
16,-480.804126279303,16,1098.48
17,-481.315182072318,17,1098.48
18,-483.109418120318,18,1098.48
19,-480.717007859557,19,1098.48
20,-481.526807295413,20,1098.48
21,-482.078496252541,21,1098.48
22,-485.858560424055,22,1098.48
23,-483.707701484111,23,1098.48
24,-485.668662274398,24,1098.48
25,-479.358098405793,25,1098.48
26,-478.988375564791,26,1098.48
27,-478.622554271258,27,1098.48
28,-478.629272171265,28,1098.48
29,-487.393220356476,29,1098.48
30,-479.573308829413,30,1098.48
0,-512.729811758423,0,1188.6000000000001
1,-518.065345030701,1,1188.6000000000001
2,-521.126653593708,2,1188.6000000000001
3,-518.583177418373,3,1188.6000000000001
4,-522.551342642224,4,1188.6000000000001
5,-522.869325923964,5,1188.6000000000001
6,-520.00439914602,6,1188.6000000000001
7,-523.873211503387,7,1188.6000000000001
8,-522.454522237226,8,1188.6000000000001
9,-525.166677100451,9,1188.6000000000001
10,-521.665668558608,10,1188.6000000000001
11,-524.337798871586,11,1188.6000000000001
12,-520.394469252366,12,1188.6000000000001
13,-518.794999866138,13,1188.6000000000001
14,-518.038973868838,14,1188.6000000000001
15,-516.976362178384,15,1188.6000000000001
16,-519.621396237898,16,1188.6000000000001
17,-520.121440537016,17,1188.6000000000001
18,-522.034093551295,18,1188.6000000000001
19,-519.519298302258,19,1188.6000000000001
20,-520.360598525966,20,1188.6000000000001
21,-521.001932632499,21,1188.6000000000001
22,-525.051275227958,22,1188.6000000000001
23,-522.811186161745,23,1188.6000000000001
24,-524.892224637481,24,1188.6000000000001
25,-517.975661596778,25,1188.6000000000001
26,-517.553804771235,26,1188.6000000000001
27,-517.183112440898,27,1188.6000000000001
28,-517.278850680764,28,1188.6000000000001
29,-526.659820329091,29,1188.6000000000001
30,-518.331479012438,30,1188.6000000000001
0,-199.669818165756,0,459.35999999999996
1,-201.647574108289,1,459.35999999999996
2,-202.746896584643,2,459.35999999999996
3,-201.867873109882,3,459.35999999999996
4,-204.231608713724,4,459.35999999999996
5,-203.993780194403,5,459.35999999999996
6,-202.23924123315,6,459.35999999999996
7,-204.218000993387,7,459.35999999999996
8,-203.616122906644,8,459.35999999999996
9,-204.909348755856,9,459.35999999999996
10,-202.133210869757,10,459.35999999999996
11,-204.555856082543,11,459.35999999999996
12,-202.05477668407,12,459.35999999999996
13,-202.426437806944,13,459.35999999999996
14,-201.614268271918,14,459.35999999999996
15,-201.480938034683,15,459.35999999999996
16,-201.985282583513,16,459.35999999999996
17,-202.135596287412,17,459.35999999999996
18,-203.421549258734,18,459.35999999999996
19,-202.243535174529,19,459.35999999999996
20,-202.453207283894,20,459.35999999999996
21,-202.422250999036,21,459.35999999999996
22,-204.896180444788,22,459.35999999999996
23,-202.988408991058,23,459.35999999999996
24,-204.819823260548,24,459.35999999999996
25,-201.703406122053,25,459.35999999999996
26,-201.560200808199,26,459.35999999999996
27,-201.858298983763,27,459.35999999999996
28,-201.078591807673,28,459.35999999999996
29,-205.050845151076,29,459.35999999999996
30,-201.215523181126,30,459.35999999999996
0,-336.303961508123,0,775.68
1,-339.907410117394,1,775.68
2,-341.64665680415,2,775.68
3,-340.025303487829,3,775.68
4,-343.106064242936,4,775.68
5,-343.121198209206,5,775.68
6,-340.83340211407,6,775.68
7,-343.569179271295,7,775.68
8,-342.752047159702,8,775.68
9,-344.446949766934,9,775.68
10,-341.526791238014,10,775.68
11,-344.145008413117,11,775.68
12,-341.119235191387,12,775.68
13,-340.551664060633,13,775.68
14,-339.75702218236,14,775.68
15,-339.480967377974,15,775.68
16,-340.617476451655,16,775.68
17,-341.039584024064,17,775.68
18,-342.497631134675,18,775.68
19,-340.645573528387,19,775.68
20,-341.239978371942,20,775.68
21,-341.486308760079,21,775.68
22,-344.472683392155,22,775.68
23,-342.523373280679,23,775.68
24,-344.27765137164,24,775.68
25,-339.793381572193,25,775.68
26,-339.585543813843,26,775.68
27,-339.430990088435,27,775.68
28,-339.098537725096,28,775.68
29,-345.503778984551,29,775.68
30,-339.621468933292,30,775.68
0,-3.71790048832487,0,10.200000000000001
1,-3.17753706394278,1,10.200000000000001
2,-3.92154036919558,2,10.200000000000001
3,-3.96179360480045,3,10.200000000000001
4,-5.46654876268411,4,10.200000000000001
5,-5.04384804230573,5,10.200000000000001
6,-3.96658308234927,6,10.200000000000001
7,-5.07833869948712,7,10.200000000000001
8,-4.49859866487371,8,10.200000000000001
9,-5.6461239034566,9,10.200000000000001
10,-2.65422122683947,10,10.200000000000001
11,-4.69386427195263,11,10.200000000000001
12,-2.58228274611811,12,10.200000000000001
13,-4.47004832133713,13,10.200000000000001
14,-3.4263196005316,14,10.200000000000001
15,-2.98498457701742,15,10.200000000000001
16,-3.42578035051644,16,10.200000000000001
17,-2.96087765458338,17,10.200000000000001
18,-4.32743513690772,18,10.200000000000001
19,-4.2710156427607,19,10.200000000000001
20,-3.63049295288544,20,10.200000000000001
21,-3.2381589010429,21,10.200000000000001
22,-5.43715614435239,22,10.200000000000001
23,-3.38458179961674,23,10.200000000000001
24,-5.64096293504442,24,10.200000000000001
25,-4.02483291802062,25,10.200000000000001
26,-3.70534127587644,26,10.200000000000001
27,-4.93123941189494,27,10.200000000000001
28,-3.10845963201619,28,10.200000000000001
29,-3.65271071851147,29,10.200000000000001
30,-2.89217493902931,30,10.200000000000001
0,-223.848600468221,0,515.16
1,-226.12429520449,1,515.16
2,-227.312863807794,2,515.16
3,-226.306544584309,3,515.16
4,-228.792573856315,4,515.16
5,-228.594226331243,5,515.16
6,-226.746572264013,6,515.16
7,-228.850380616428,7,515.16
8,-228.223796253888,8,515.16
9,-229.568035464512,9,515.16
10,-226.784632525554,10,515.16
11,-229.247751663256,11,515.16
12,-226.668256921355,12,515.16
13,-226.866111600488,13,515.16
14,-226.063419345774,14,515.16
15,-225.928507904306,15,515.16
16,-226.509148618808,16,515.16
17,-226.718421595465,17,515.16
18,-228.021711764907,18,515.16
19,-226.716561961821,19,515.16
20,-227.007004188805,20,515.16
21,-227.023555958121,21,515.16
22,-229.568661077587,22,515.16
23,-227.662978327399,23,515.16
24,-229.465357152901,24,515.16
25,-226.129877083613,25,515.16
26,-225.985448407111,26,515.16
27,-226.189741307181,27,515.16
28,-225.503871346752,28,515.16
